アタフタ,-1,-1,10,オノマトペ,*,*,*,*,*,アタフタ,アタフタ,アタフタ
あつあつ,-1,-1,10,オノマトペ,*,*,*,*,*,あつあつ,アツアツ,アツアツ
あっさり,-1,-1,10,オノマトペ,*,*,*,*,*,あっさり,アッサリ,アッサリ
いがいが,-1,-1,10,オノマトペ,*,*,*,*,*,いがいが,イガイガ,イガイガ
いじいじ,-1,-1,10,オノマトペ,*,*,*,*,*,いじいじ,イジイジ,イジイジ
いちゃいちゃ,-1,-1,10,オノマトペ,*,*,*,*,*,いちゃいちゃ,イチャイチャ,イチャイチャ
イライラ,-1,-1,10,オノマトペ,*,*,*,*,*,イライラ,イライラ,イライラ
ウキー,-1,-1,10,オノマトペ,*,*,*,*,*,ウキー,ウキー,ウキー
ウキウキ,-1,-1,10,オノマトペ,*,*,*,*,*,ウキウキ,ウキウキ,ウキウキ
うじゃうじゃ,-1,-1,10,オノマトペ,*,*,*,*,*,うじゃうじゃ,ウジャウジャ,ウジャウジャ
うっかり,-1,-1,10,オノマトペ,*,*,*,*,*,うっかり,ウッカリ,ウッカリ
うとうと,-1,-1,10,オノマトペ,*,*,*,*,*,うとうと,ウトウト,ウトウト
うるうる,-1,-1,10,オノマトペ,*,*,*,*,*,うるうる,ウルウル,ウルウル
うろうろ,-1,-1,10,オノマトペ,*,*,*,*,*,うろうろ,ウロウロ,ウロウロ
うえーん,-1,-1,10,オノマトペ,*,*,*,*,*,うえーん,ウエーン,ウエーン
えーん,-1,-1,10,オノマトペ,*,*,*,*,*,えーん,エーン,エーン
オギャーオギャー,-1,-1,10,オノマトペ,*,*,*,*,*,オギャーオギャー,オギャーオギャー,オギャーオギャー
おどおど,-1,-1,10,オノマトペ,*,*,*,*,*,おどおど,オドオド,オドオド
カーカー,-1,-1,10,オノマトペ,*,*,*,*,*,カーカー,カーカー,カーカー
グワッグワッ,-1,-1,10,オノマトペ,*,*,*,*,*,グワッグワッ,グワッグワッ,グワッグワッ
ガーガー,-1,-1,10,オノマトペ,*,*,*,*,*,ガーガー,ガーガー,ガーガー
ガオー,-1,-1,10,オノマトペ,*,*,*,*,*,ガオー,ガオー,ガオー
パシャ,-1,-1,10,オノマトペ,*,*,*,*,*,パシャ,パシャ,パシャ
カシャ,-1,-1,10,オノマトペ,*,*,*,*,*,カシャ,カシャ,カシャ
カタカタ,-1,-1,10,オノマトペ,*,*,*,*,*,カタカタ,カタカタ,カタカタ
ガタガタ,-1,-1,10,オノマトペ,*,*,*,*,*,ガタガタ,ガタガタ,ガタガタ
